camera,imgtype,zoom,exposure,gain,frame,lifter,timestamp,id,plantbarcode,treatment,cartag,measurementlabel,other,image,sample,in_bounds,area,convex_hull_area,solidity,perimeter,width,height,longest_path,convex_hull_vertices,object_in_frame,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity,yii_mean_Fv/Fm,yii_median_Fv/Fm,yii_max_Fv/Fm,yii_mode_Fv/Fm,yii_mean_Fq'/Fm',yii_median_Fq'/Fm',yii_max_Fq'/Fm',yii_mode_Fq'/Fm',npq_mean_NPQ,npq_median_NPQ,npq_max_NPQ,npq_mode_NPQ,mean_index_ari,med_index_ari,std_index_ari,mean_index_ndvi,med_index_ndvi,std_index_ndvi,mean_index_ci_rededge,med_index_ci_rededge,std_index_ci_rededge
PSII,HDR,10292021,none,none,none,none,None,1,none,C,none,HLP,0,/shares/mgehan_share/raw_data/raw_image/Katie_cropreporter/11012021_RAW_DATA/PSII_HDR_10292021_0_HLP_C_1.INF,default,True,214003.0,247594.5,0.8643285694956875,2251.8733566999435,542,653,4511,40,True,657.602294921875,499.0816955566406,177.37620544433594,0.6511587713156971,0.8289350779777098,0.8299338106173173,0.9834309623430962,0.8300000000000001,0.5356153151369375,0.5463318857512836,0.891286307053942,0.56,0.6926197345969503,0.6444754568054829,3.34526051475204,0.56,4.217174053192139,3.8375186920166016,2.1969492435455322,0.7085313200950623,0.7105048298835754,0.06078897789120674,2.765228271484375,2.7032759189605713,0.40666428208351135
PSII,HDR,10292021,none,none,none,none,None,3,none,C,none,HLP,0,/shares/mgehan_share/raw_data/raw_image/Katie_cropreporter/11012021_RAW_DATA/PSII_HDR_10292021_0_HLP_C_3.INF,default,True,170719.0,190667.5,0.8953754572750994,1923.2976748943329,559,484,3755,37,True,538.8010864257812,455.222412109375,91.47510528564453,0.5349554322737919,0.8284115578721806,0.8293379901571678,0.9881856540084388,0.8200000000000001,0.5709048768152407,0.5801963263452815,0.9079584775086506,0.59,0.6160621880012218,0.5540992809506625,3.992280701754386,0.48,4.232429504394531,3.9269866943359375,2.251988172531128,0.6931058168411255,0.6980732083320618,0.06916140764951706,2.689565896987915,2.66581392288208,0.44213977456092834
PSII,HDR,10292021,none,none,none,none,None,4,none,C,none,HLP,0,/shares/mgehan_share/raw_data/raw_image/Katie_cropreporter/11012021_RAW_DATA/PSII_HDR_10292021_0_HLP_C_4.INF,default,True,256345.0,285320.0,0.8984473573531473,2552.140382528305,712,555,4865,47,True,686.5552978515625,507.8832702636719,79.79779052734375,0.6728754283075955,0.8259273106958496,0.827329691322849,1.0,0.8300000000000001,0.556918058046662,0.5680200360632413,0.9701657458563536,0.5700000000000001,0.6664438768692514,0.6177777777777778,5.312560856864654,0.54,5.173912048339844,4.714197635650635,2.755573272705078,0.7178624272346497,0.7160441875457764,0.05326806381344795,3.0587213039398193,2.988145351409912,0.4672906696796417
PSII,HDR,10292021,none,none,none,none,None,5,none,H,none,HLP,0,/shares/mgehan_share/raw_data/raw_image/Katie_cropreporter/11012021_RAW_DATA/PSII_HDR_10292021_0_HLP_H_5.INF,default,True,199254.0,226504.5,0.8796911319642656,2169.505825638771,561,588,4549,40,True,617.366455078125,475.3537902832031,31.535964965820312,0.6380798129751188,0.8318390882295659,0.8324969381896568,1.0,0.8300000000000001,0.5587493070319924,0.5653869993182161,0.8907922912205567,0.5700000000000001,0.6062703058453623,0.5695501730103807,4.571609632446134,0.5,4.860357761383057,4.4324517250061035,2.630861759185791,0.7144781947135925,0.7153016924858093,0.06031646579504013,2.9230105876922607,2.865602970123291,0.43653249740600586
PSII,HDR,10292021,none,none,none,none,None,6,none,H,none,HLP,0,/shares/mgehan_share/raw_data/raw_image/Katie_cropreporter/11012021_RAW_DATA/PSII_HDR_10292021_0_HLP_H_6.INF,default,True,179000.0,200084.5,0.8946220221956224,2122.1748723983765,622,515,4305,34,True,604.8065795898438,400.369873046875,63.68589782714844,0.7495214807259059,0.8298595904865304,0.8313449364373132,1.0,0.8300000000000001,0.5614511866112779,0.5752653238033355,0.9221123703882325,0.5700000000000001,0.673752018082445,0.5867404060378024,7.727987421383649,0.48,4.415223598480225,3.9415178298950195,2.497946262359619,0.6969395279884338,0.6975401639938354,0.07193920761346817,2.7151224613189697,2.626614570617676,0.4779640734195709
PSII,HDR,10292021,none,none,none,none,None,7,none,H,none,HLP,0,/shares/mgehan_share/raw_data/raw_image/Katie_cropreporter/11012021_RAW_DATA/PSII_HDR_10292021_0_HLP_H_7.INF,default,True,210430.0,235605.0,0.8931474289594873,2230.6773985624313,523,586,4210,39,True,584.0641479492188,505.6636657714844,20.543214797973633,0.5004467074765532,0.834765694500262,0.8359974726840327,1.0,0.8300000000000001,0.5482840128720965,0.5597755457877884,0.8830128205128205,0.56,0.7247375147902815,0.6648580968280466,3.517680339462518,0.56,5.673736095428467,4.929444313049316,3.576962947845459,0.7292562127113342,0.7279000878334045,0.0568886399269104,3.0763232707977295,2.9923558235168457,0.5719807147979736
PSII,HDR,10292021,none,none,none,none,None,8,none,H,none,HLP,0,/shares/mgehan_share/raw_data/raw_image/Katie_cropreporter/11012021_RAW_DATA/PSII_HDR_10292021_0_HLP_H_8.INF,default,True,223797.0,259584.0,0.8621371116863905,2395.0865597724915,666,577,4491,41,True,638.5481567382812,525.342529296875,88.19361877441406,0.5684554687041914,0.8321918520189766,0.8341664855466203,1.0,0.8300000000000001,0.5393358458102204,0.5477995411924956,0.9491825011047282,0.55,0.7632087437459347,0.7266508813470138,3.4372913686218407,0.68,4.900800704956055,4.372342109680176,3.113142728805542,0.7079253196716309,0.7042672038078308,0.05787542834877968,2.888329029083252,2.8150649070739746,0.49038007855415344
PSII,HDR,10292021,none,none,none,none,None,1,none,C,none,WT,0,/shares/mgehan_share/raw_data/raw_image/Katie_cropreporter/11012021_RAW_DATA/PSII_HDR_10292021_0_WT_C_1.INF,default,True,279846.0,326580.0,0.8568987690611795,2554.1475228071213,710,640,4695,43,True,670.1091918945312,596.4243774414062,113.01976776123047,0.45588129631050417,0.8301861065099003,0.8324557945651995,0.9747490112564648,0.8300000000000001,0.5245414296283417,0.549520766773163,0.8755980861244019,0.56,0.6341616332135376,0.5636061540179158,3.3949458483754515,0.48,6.468613147735596,5.5684003829956055,3.5424158573150635,0.7230401635169983,0.7152066826820374,0.0699177160859108,3.279940128326416,3.1213724613189697,0.7518349885940552
PSII,HDR,10292021,none,none,none,none,None,2,none,C,none,WT,0,/shares/mgehan_share/raw_data/raw_image/Katie_cropreporter/11012021_RAW_DATA/PSII_HDR_10292021_0_WT_C_2.INF,default,True,241617.0,272287.5,0.8873598677868062,2398.2997628450394,605,681,4488,47,True,655.1994018554688,534.3356323242188,33.81541442871094,0.578712940866835,0.8300676465956072,0.8311327310632384,0.988135593220339,0.8300000000000001,0.5554930939503331,0.563230605738576,0.8935611038107752,0.5700000000000001,0.5604238005893619,0.5279363431932191,3.353393981805459,0.48,6.4888787269592285,5.68037223815918,3.452505111694336,0.7297306656837463,0.7278536558151245,0.06303740292787552,3.2623696327209473,3.148129463195801,0.6583040952682495
PSII,HDR,10292021,none,none,none,none,None,3,none,C,none,WT,0,/shares/mgehan_share/raw_data/raw_image/Katie_cropreporter/11012021_RAW_DATA/PSII_HDR_10292021_0_WT_C_3.INF,default,True,305783.0,349182.5,0.8757111252711691,2600.8094292879105,727,736,5052,57,True,704.9226684570312,629.5801391601562,55.74058532714844,0.44981959186304815,0.8267619250562047,0.8281558628119949,1.0,0.8300000000000001,0.527326386884115,0.5389624971929037,0.9202453987730062,0.55,0.7937943244353665,0.7466030966384108,3.724481964696853,0.68,7.032057285308838,6.171579360961914,3.830052375793457,0.7278806567192078,0.7196012139320374,0.06072532758116722,3.367708444595337,3.204909324645996,0.6846086382865906
